# Pathway	JH144_Abundance-CPM
UNMAPPED	289798
UNINTEGRATED	663479
UNINTEGRATED|unclassified	149373
UNINTEGRATED|g__Blautia.s__Blautia_obeum	55787.2
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	46757.2
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	28832.2
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	22167.7
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	21180.8
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	19589.8
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	18156.7
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	16277.7
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	14958.5
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	14491.7
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	13954.3
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	13813.3
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	13407.9
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	12922
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	11799.6
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	11275.7
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	10507.3
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	10304.3
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	9922.81
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	9131.35
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ventriosum	8698.13
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	8635.23
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	8318.47
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	8225.39
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	7958.2
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	7491.52
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	7327.74
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	6166.47
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rogosae	5594.44
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_180	5547.45
UNINTEGRATED|g__Flavonifractor.s__Flavonifractor_plautii	4578.94
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	4037.5
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	3901.91
UNINTEGRATED|g__Streptococcus.s__Streptococcus_thermophilus	3514.6
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	3043.83
UNINTEGRATED|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	2925.27
UNINTEGRATED|g__Holdemanella.s__Holdemanella_biformis	2872.17
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_tayi	2580.86
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_bolteae	2426.04
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	2174.78
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	2049.02
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	1997.64
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	1743.92
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_167	1727.88
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	1594.74
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	1580.89
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	1533.39
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	1515.02
UNINTEGRATED|g__Oxalobacter.s__Oxalobacter_formigenes	1262.07
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	1251.99
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	1209.21
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1200.78
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae	1092.58
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	1060.84
UNINTEGRATED|g__Gordonibacter.s__Gordonibacter_pamelaeae	1044.48
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	1014.27
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis_CAG_32	964.554
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_asparagiforme	879.152
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	868.133
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_1031	759.863
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	609.856
UNINTEGRATED|g__Blautia.s__Blautia_hydrogenotrophica	595.979
UNINTEGRATED|g__Odoribacter.s__Odoribacter_splanchnicus	593.349
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	592.363
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	472.774
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_309	425.249
UNINTEGRATED|g__Slackia.s__Slackia_isoflavoniconvertens	391.166
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	356.85
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	236.209
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	227.065
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	162.238
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	114.778
UNINTEGRATED|g__Lactococcus.s__Lactococcus_lactis	108.157
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38	92.2612
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_182	87.0728
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145	73.8801
UNINTEGRATED|g__Coprobacter.s__Coprobacter_fastidiosus	37.7004
PWY-7238: sucrose biosynthesis II	755.741
PWY-7238: sucrose biosynthesis II|unclassified	260.065
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	84.6837
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	49.1877
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	47.5808
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	40.8708
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bromii	39.0814
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	22.5066
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	20.2574
